domain,company,category,contact_name,contact_email,source_url,relevance_reason,date_found,date_contacted,follow_up_1_date,follow_up_2_date,reply_status,reply_date,backlink_status,backlink_url,verified
thesanctuarymarbella.com,The Sanctuary Marbella,villa_concierge,General inquiries,info@thesanctuarymarbella.com,https://thesanctuarymarbella.com/concierge-services,"Luxury villa concierge at Los Flamingos Golf Resort, Benahavis — page explicitly advertises 'exclusive yacht charter experiences' to villa guests already; direct service overlap",2026-09-25,,,,not_contacted,,not_sent,,true
puertobanus.com,Puerto Banús Official Concierge,marina_official,Concierge desk,concierge@puertojosebanus.es,https://puerto-banus.com/en/concierge-services/,"Official marina concierge service for Puerto Banús (our own departure port) — already arranges yacht crew/catering support; natural fit to add charter recommendations",2026-09-25,,,,not_contacted,,not_sent,,true
marbellainstyle.com,Marbella in Style,wedding_planning,General inquiries (phone/WhatsApp only — no public email found),,https://marbellainstyle.com/services/events/wedding-planner-marbella/,"Established Marbella wedding planner, no current yacht/boat offering mentioned — clear gap to fill with sunset-cruise or photoshoot-yacht add-on",2026-09-25,,,,not_contacted,,not_sent,,true
puertojosebanus.es,Puerto Jose Banus Marina Authority,marina_official,Marina office,concierge@puertojosebanus.es,https://puerto-banus.com/en/concierge-services/,"Same contact as concierge desk above — marina-level relationship could support a listed-operator partnership beyond just guest concierge referrals",2026-09-25,,,,not_contacted,,not_sent,,true
wanderlust.co.uk,Wanderlust Magazine,travel_blog,Editorial Team,hello@wanderlust.co.uk,,"LEGACY ENTRY — generic guessed address, no source URL recorded, contacted 2026-09-25 before this tracker existed. Flagged, not re-verified.",,2026-09-25T10:52:00,,,pending,,sent_unverified_recipient,,false
theblondabroad.com,The Blonda Broad,travel_blog,Kiersten,partnerships@theblondabroad.com,,"LEGACY ENTRY — generic guessed address, no source URL recorded.",,2026-09-25T10:52:00,,,pending,,sent_unverified_recipient,,false
boatinternational.com,Boat International,boating_magazine,Editorial,editorial@boatinternational.com,,"LEGACY ENTRY — generic guessed address, no source URL recorded.",,2026-09-25T10:52:00,,,pending,,sent_unverified_recipient,,false
junebugweddings.com,JuneBug Weddings,wedding_planning,Submissions,partnerships@junebugweddings.com,,"LEGACY ENTRY — generic guessed address, no source URL recorded.",,2026-09-25T10:52:00,,,pending,,sent_unverified_recipient,,false
nomadicmatt.com,Nomadic Matt,travel_blog,Matt,contact@nomadicmatt.com,,"LEGACY ENTRY — generic guessed address, no source URL recorded.",,2026-09-25T10:52:00,,,pending,,sent_unverified_recipient,,false
hostelworld.com,HostelWorld,travel_platform,Partnerships,partnerships@hostelworld.com,,"LEGACY ENTRY — generic guessed address, no source URL recorded.",,2026-09-25T10:52:00,,,pending,,sent_unverified_recipient,,false
viamichelin.com,Via Michelin,travel_portal,Tourism Editor,tourism@viamichelin.com,,"LEGACY ENTRY — generic guessed address, no source URL recorded.",,2026-09-25T10:52:00,,,pending,,sent_unverified_recipient,,false
lonelyplanet.com,Lonely Planet,travel_guide,Editorial Submissions,editorial@lonelyplanet.com,,"LEGACY ENTRY — generic guessed address, no source URL recorded.",,2026-09-25T10:52:00,,,pending,,sent_unverified_recipient,,false
booking.com,Booking.com,travel_platform,Experience Partnerships,partnerships@booking.com,,"LEGACY ENTRY — generic guessed address, no source URL recorded.",,2026-09-25T10:52:00,,,pending,,sent_unverified_recipient,,false
superyachtforum.com,SuperYacht Forum,boating_community,Business Development,info@superyachtforum.com,,"LEGACY ENTRY — generic guessed address, no source URL recorded.",,2026-09-25T10:52:00,,,pending,,sent_unverified_recipient,,false
hensandbucks.co.uk,Hens and Bucks,event_planning,Admin,info@hensandbucks.co.uk,,"LEGACY ENTRY — not yet contacted, no source URL recorded.",,,,,not_contacted,,not_sent,,false
vrbo.com,VRBO (Expedia),vacation_rental,Business Development,partnerships@vrbo.com,,"LEGACY ENTRY — not yet contacted, no source URL recorded.",,,,,not_contacted,,not_sent,,false
tripadvisor.com,TripAdvisor,travel_reviews,Business Partnerships,business@tripadvisor.com,,"LEGACY ENTRY — not yet contacted, no source URL recorded.",,,,,not_contacted,,not_sent,,false
spain.info,Spain Tourism Board,tourism_government,Partnerships,info@spain.info,,"LEGACY ENTRY — not yet contacted, no source URL recorded.",,,,,not_contacted,,not_sent,,false
airbnb.com,Airbnb,vacation_rental,Experience Partnerships,partnerships@airbnb.com,,"LEGACY ENTRY — not yet contacted, no source URL recorded.",,,,,not_contacted,,not_sent,,false
costadelsoltravel.com,Costa del Sol Travel Blog,travel_blog,Editor,editorial@costadelsoltravel.com,,"LEGACY ENTRY — not yet contacted, no source URL recorded.",,,,,not_contacted,,not_sent,,false
marbellahotels.com,Marbella Hotels Association,hotels_local,Partnership Manager,partnerships@marbellahotels.com,,"LEGACY ENTRY — not yet contacted, no source URL recorded.",,,,,not_contacted,,not_sent,,false
luxurytraveladvisors.com,Luxury Travel Advisors,luxury_travel,Coordinator,info@luxurytraveladvisors.com,,"LEGACY ENTRY — not yet contacted, no source URL recorded.",,,,,not_contacted,,not_sent,,false
travelweekly.com,Travel Weekly,travel_publication,Editor,editorial@travelweekly.com,,"LEGACY ENTRY — not yet contacted, no source URL recorded.",,,,,not_contacted,,not_sent,,false
